company_id,product_id
C001,P001
C001,P016
C001,P024
C001,P025
C001,P052
C001,P071
C001,P121
C001,P122
C001,P126
C001,P168
C001,P184
C001,P185
C001,P186
C001,P290
C001,P293
C001,P307
C001,P314
C001,P315
C001,P316
C001,P352
C004,P002
C004,P003
C004,P004
C004,P005
C004,P006
C004,P007
C004,P010
C004,P013
C004,P014
C004,P017
C004,P019
C004,P020
C004,P041
C004,P064
C004,P065
C004,P066
C004,P067
C004,P068
C004,P072
C004,P092
C004,P093
C004,P094
C004,P095
C004,P096
C004,P097
C004,P098
C004,P099
C004,P100
C004,P101
C004,P119
C004,P132
C004,P133
C004,P139
C004,P140
C004,P141
C004,P142
C004,P143
C004,P144
C004,P145
C004,P146
C004,P147
C004,P148
C004,P149
C004,P153
C004,P154
C004,P155
C004,P156
C004,P157
C004,P162
C004,P163
C004,P165
C004,P167
C004,P169
C004,P224
C004,P225
C004,P226
C004,P227
C004,P228
C004,P229
C004,P230
C004,P231
C004,P232
C004,P233
C004,P234
C004,P235
C004,P236
C004,P237
C004,P238
C004,P239
C004,P240
C004,P241
C004,P242
C004,P243
C004,P244
C004,P245
C004,P246
C004,P247
C004,P248
C004,P249
C004,P250
C004,P252
C004,P258
C004,P259
C004,P260
C004,P284
C004,P285
C004,P286
C004,P288
C004,P289
C004,P291
C004,P308
C004,P344
C006,P053
C006,P054
C006,P055
C006,P056
C006,P060
C006,P061
C006,P062
C006,P069
C006,P074
C006,P075
C006,P076
C006,P077
C006,P078
C006,P079
C006,P080
C006,P081
C006,P082
C006,P083
C006,P084
C006,P085
C006,P086
C006,P087
C006,P088
C006,P089
C006,P090
C006,P091
C006,P107
C006,P108
C006,P113
C006,P138
C006,P161
C006,P187
C006,P188
C006,P189
C006,P190
C006,P191
C006,P192
C006,P193
C006,P266
C006,P267
C006,P268
C006,P269
C006,P270
C006,P271
C006,P272
C006,P273
C006,P274
C006,P275
C006,P276
C006,P277
C006,P278
C006,P279
C006,P280
C006,P281
C006,P287
C006,P296
C006,P317
C006,P319
C006,P320
C006,P321
C006,P322
C006,P323
C006,P324
C006,P325
C006,P326
C006,P350
C006,P351
C002,P018
C002,P021
C002,P026
C002,P027
C002,P028
C002,P029
C002,P030
C002,P031
C002,P032
C002,P033
C002,P034
C002,P035
C002,P036
C002,P037
C002,P038
C002,P039
C002,P040
C002,P049
C002,P159
C002,P160
C002,P176
C002,P177
C002,P178
C002,P179
C002,P180
C002,P181
C002,P182
C002,P183
C002,P313
C002,P333
C002,P334
C002,P353
C002,P354
C002,P355
C002,P356
C002,P357
C002,P358
C002,P359
C002,P360
C002,P361
C002,P362
C002,P363
C002,P364
C005,P048
C005,P057
C005,P058
C005,P059
C005,P063
C005,P103
C005,P104
C005,P105
C005,P106
C005,P112
C005,P114
C005,P123
C005,P124
C005,P125
C005,P134
C005,P135
C005,P136
C005,P137
C005,P150
C005,P195
C005,P297
C005,P298
C005,P299
C005,P318
C003,P008
C003,P009
C003,P011
C003,P012
C003,P015
C003,P022
C003,P023
C003,P042
C003,P043
C003,P044
C003,P045
C003,P046
C003,P047
C003,P050
C003,P051
C003,P070
C003,P073
C003,P102
C003,P109
C003,P110
C003,P111
C003,P115
C003,P116
C003,P117
C003,P118
C003,P120
C003,P127
C003,P128
C003,P129
C003,P130
C003,P131
C003,P133
C003,P151
C003,P152
C003,P158
C003,P164
C003,P166
C003,P170
C003,P171
C003,P172
C003,P173
C003,P174
C003,P175
C003,P194
C003,P196
C003,P197
C003,P198
C003,P199
C003,P200
C003,P201
C003,P202
C003,P203
C003,P204
C003,P205
C003,P206
C003,P207
C003,P208
C003,P209
C003,P210
C003,P211
C003,P212
C003,P213
C003,P214
C003,P215
C003,P216
C003,P217
C003,P218
C003,P219
C003,P220
C003,P221
C003,P222
C003,P223
C003,P251
C003,P253
C003,P254
C003,P255
C003,P256
C003,P257
C003,P261
C003,P262
C003,P263
C003,P264
C003,P265
C003,P282
C003,P283
C003,P292
C003,P294
C003,P295
C003,P300
C003,P301
C003,P302
C003,P303
C003,P304
C003,P305
C003,P306
C003,P309
C003,P310
C003,P311
C003,P312
C003,P327
C003,P328
C003,P329
C003,P330
C003,P331
C003,P332
C003,P335
C003,P336
C003,P337
C003,P338
C003,P339
C003,P340
C003,P341
C003,P342
C003,P343
C003,P344
C003,P345
C003,P346
C003,P347
C003,P348
C003,P349
