company_id,risk_id
C001,R006
C001,R016
C001,R023
C001,R024
C001,R027
C001,R053
C001,R082
C001,R096
C001,R099
C001,R101
C001,R102
C001,R117
C001,R125
C001,R188
C001,R193
C001,R200
C001,R201
C001,R204
C001,R211
C001,R225
C001,R228
C001,R257
C001,R282
C001,R296
C001,R297
C001,R319
C001,R320
C001,R322
C001,R324
C001,R329
C001,R330
C001,R340
C001,R341
C001,R342
C001,R346
C001,R363
C001,R366
C001,R374
C001,R375
C001,R383
C001,R387
C001,R413
C001,R415
C001,R416
C001,R417
C001,R424
C001,R431
C001,R432
C001,R445
C001,R449
C001,R452
C001,R453
C001,R456
C001,R457
C001,R460
C001,R463
C001,R464
C001,R466
C001,R469
C001,R481
C001,R486
C001,R488
C001,R490
C001,R499
C001,R502
C001,R509
C001,R511
C001,R530
C001,R556
C001,R559
C001,R576
C001,R584
C001,R598
C001,R609
C001,R615
C001,R619
C001,R621
C001,R630
C001,R638
C001,R655
C001,R658
C001,R663
C001,R664
C001,R689
C001,R700
C001,R708
C001,R714
C001,R724
C001,R739
C001,R740
C001,R754
C001,R756
C001,R757
C001,R778
C001,R780
C001,R783
C001,R786
C001,R793
C001,R794
C001,R805
C001,R806
C001,R807
C001,R809
C001,R833
C001,R836
C001,R855
C004,R007
C004,R010
C004,R013
C004,R014
C004,R019
C004,R020
C004,R021
C004,R022
C004,R023
C004,R026
C004,R028
C004,R043
C004,R048
C004,R049
C004,R050
C004,R052
C004,R054
C004,R055
C004,R070
C004,R071
C004,R072
C004,R074
C004,R075
C004,R076
C004,R077
C004,R078
C004,R079
C004,R080
C004,R084
C004,R087
C004,R089
C004,R101
C004,R103
C004,R109
C004,R110
C004,R111
C004,R116
C004,R118
C004,R148
C004,R149
C004,R152
C004,R153
C004,R154
C004,R163
C004,R164
C004,R166
C004,R167
C004,R172
C004,R182
C004,R187
C004,R189
C004,R191
C004,R194
C004,R195
C004,R196
C004,R197
C004,R202
C004,R209
C004,R213
C004,R214
C004,R215
C004,R229
C004,R241
C004,R245
C004,R249
C004,R250
C004,R251
C004,R255
C004,R256
C004,R275
C004,R287
C004,R290
C004,R293
C004,R294
C004,R295
C004,R298
C004,R299
C004,R300
C004,R302
C004,R307
C004,R309
C004,R321
C004,R324
C004,R331
C004,R334
C004,R348
C004,R349
C004,R350
C004,R361
C004,R362
C004,R366
C004,R367
C004,R369
C004,R370
C004,R371
C004,R377
C004,R385
C004,R388
C004,R396
C004,R397
C004,R402
C004,R403
C004,R412
C004,R418
C004,R422
C004,R439
C004,R445
C004,R448
C004,R449
C004,R453
C004,R457
C004,R459
C004,R462
C004,R463
C004,R468
C004,R474
C004,R477
C004,R481
C004,R503
C004,R504
C004,R512
C004,R517
C004,R521
C004,R522
C004,R523
C004,R529
C004,R546
C004,R562
C004,R564
C004,R581
C004,R583
C004,R604
C004,R634
C004,R636
C004,R639
C004,R643
C004,R653
C004,R666
C004,R669
C004,R671
C004,R682
C004,R705
C004,R706
C004,R720
C004,R726
C004,R743
C004,R745
C004,R765
C004,R767
C004,R779
C004,R783
C004,R784
C004,R787
C004,R788
C004,R789
C004,R790
C004,R800
C004,R801
C004,R810
C004,R811
C004,R812
C004,R813
C004,R817
C004,R819
C004,R830
C004,R837
C004,R840
C004,R860
C004,R886
C006,R018
C006,R032
C006,R034
C006,R035
C006,R036
C006,R040
C006,R041
C006,R042
C006,R045
C006,R046
C006,R052
C006,R062
C006,R087
C006,R088
C006,R090
C006,R119
C006,R126
C006,R127
C006,R133
C006,R134
C006,R135
C006,R136
C006,R137
C006,R138
C006,R139
C006,R140
C006,R141
C006,R143
C006,R150
C006,R151
C006,R155
C006,R156
C006,R158
C006,R162
C006,R169
C006,R179
C006,R181
C006,R183
C006,R198
C006,R199
C006,R206
C006,R210
C006,R230
C006,R232
C006,R242
C006,R243
C006,R244
C006,R247
C006,R248
C006,R282
C006,R288
C006,R292
C006,R303
C006,R308
C006,R313
C006,R323
C006,R324
C006,R327
C006,R328
C006,R332
C006,R336
C006,R338
C006,R339
C006,R343
C006,R359
C006,R378
C006,R380
C006,R387
C006,R400
C006,R401
C006,R404
C006,R406
C006,R407
C006,R413
C006,R421
C006,R422
C006,R433
C006,R434
C006,R436
C006,R442
C006,R449
C006,R450
C006,R451
C006,R453
C006,R455
C006,R457
C006,R478
C006,R479
C006,R480
C006,R490
C006,R493
C006,R497
C006,R505
C006,R507
C006,R513
C006,R514
C006,R515
C006,R516
C006,R518
C006,R526
C006,R531
C006,R532
C006,R533
C006,R535
C006,R548
C006,R560
C006,R563
C006,R597
C006,R601
C006,R602
C006,R603
C006,R607
C006,R608
C006,R611
C006,R612
C006,R613
C006,R614
C006,R625
C006,R644
C006,R645
C006,R668
C006,R670
C006,R671
C006,R673
C006,R674
C006,R682
